TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
201100A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),8,$1099046.00
201200A,235810,Water Well Drilling Contractors (1997 NAICS),17,$5014495.00
200500A,523110,Investment bankers & securities dealers,22,$64903038.00
200700A,513330,Telecommunications Resellers,6,$1138971.00
200900A,235810,Water Well Drilling Contractors (1997 NAICS),11,$15067456.00
201100A,424700,Petroleum & petroleum products,58,$727582518.00
200600A,523140,Commodity contracts brokers,18,$22495763.00
200700A,424930,"Flower, nursery stock, & florists' supplies",258,$227763533.00
201100A,453920,Art dealers,671,$44614319.50
200700A,485210,Interurban & rural bus transportation,9,$0.00
200800A,561730,Landscaping services,2485,$92770355.80
200800A,485300,Taxi & limousine service,423,$1633030.00
200700A,541600,"Management, scientific, & technical consulting services",5881,$1420506281.05
201700A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",11,$160688.00
200500A,423920,Toy & hobby goods & supplies,148,$105832693.37
201400A,454111,Electronic shopping,502,$40211484.48
200800A,561600,Investigation & security services,572,$380884218.00
200900A,423910,Sporting & recreational goods & supplies,187,$83769848.00
200700A,446110,Pharmacies & drug stores,473,$2565673057.00
201400A,488000,Support activities for transportation (including motor vehicle towing),1173,$1245793071.90
201400A,233220,Multifamily Housing Construction (1997 NAICS),886,$1697076253.24
201600A,813000,"Religious, grantmaking, civic, professional, & similar organizations",145,$7141453.00
201200A,621111,Offices of physicians (except mental health specialists),5081,$2999967822.69
201400A,531320,Offices of real estate appraisers,155,$12451066.20
201000A,531100,Lessors of real estate (including mini warehouses & self-storage units),32174,$10166932199.96
200800A,423200,Furniture &  home furnishing,387,$299136516.00
200900A,721310,Rooming & boarding houses,279,$210699994.00
201500A,235510,Carpentry Contractors (1997 NAICS),555,$182301890.00
201600A,425120,Wholesale trade agents & brokers,1754,$1152673709.65
201300A,711300,"Promoters of performing arts, sports, & similar events",2047,$1493441335.73
200600A,562000,Waste management & remediation services,108,$116494234.00
201700A,234110,Highway and Street Construction (1997 NAICS),1,$0.00
201200A,448150,Clothing accessories stores,882,$230288098.90
200500A,811210,Electronic & precision equipment repair & maintenance,91,$12286599.00
201400A,322000,Paper mfg.,72,$43913146.00
200800A,332000,Fabricated metal product mfg.,194,$462497911.00
200700A,541910,Market research & public opinion polling,121,$137401298.00
200700A,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",1478,$484851303.75
201400A,441222,Boat dealers,32,$1664639.00
201300A,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),110,$144322819.00
200700A,326000,Plastics & rubber products mfg.,44,$28933750.00
201100A,235810,Water Well Drilling Contractors (1997 NAICS),15,$3969376.00
200600A,485510,Charter bus industry,13,$94435.00
200500A,425110,Business to business electronic markets,11,$119443.00
200600A,336000,Transportation equipment mfg.,40,$95666272.00
200600A,313000,Textile mills,28,$8334783.00
200800A,454112,Electronic auctions,8,$94855.00
201000A,513330,Telecommunications Resellers,6,$5481408.00
200500A,484200,Specialized freight trucking (including household moving vans),17,$1682362.00
200600A,444110,Home centers,17,$89454654.00
200700A,336000,Transportation equipment mfg.,49,$87844731.00
201200A,513330,Telecommunications Resellers,6,$6206246.00
200500A,235810,Water Well Drilling Contractors (1997 NAICS),2,$0.00
201400A,235810,Water Well Drilling Contractors (1997 NAICS),24,$7463312.00
201300A,235810,Water Well Drilling Contractors (1997 NAICS),20,$6013481.00
200800A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",52,$6921597.00
200600A,484200,Specialized freight trucking (including household moving vans),32,$1778640.80
200500A,336000,Transportation equipment mfg.,36,$62083888.00
201000A,513322,Cellular and Other Wireless Telecommunications,14,$1177527295.00
200700A,454112,Electronic auctions,4,$0.00
201000A,235810,Water Well Drilling Contractors (1997 NAICS),13,$7791340.00
201000A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),9,$729737.00
200500A,311300,Sugar & confectionery product mfg.,5,$250.00
200700A,485510,Charter bus industry,22,$87767.00
200900A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),8,$634314.00
200800A,513330,Telecommunications Resellers,6,$2059008.00
200700A,812220,Cemeteries & crematories,9,$16521080.00
201400A,513330,Telecommunications Resellers,6,$6199144.00
200700A,485410,School & employee bus transportation,12,$0.00
200600A,311300,Sugar & confectionery product mfg.,8,$102560.00
200600A,812220,Cemeteries & crematories,10,$14900651.00
